Timestamp,Emotion,Confidence
2025-08-20 17:53:19,Neutral,0.66
2025-08-20 17:53:20,Neutral,0.36
2025-08-20 17:53:20,Neutral,0.57
2025-08-20 17:53:20,Neutral,0.68
2025-08-20 17:53:21,Neutral,0.58
2025-08-20 17:53:21,Neutral,0.48
2025-08-20 17:53:21,Neutral,0.33
2025-08-20 17:53:21,Happy,0.46
2025-08-20 17:53:22,Neutral,0.58
2025-08-20 17:53:22,Neutral,0.51
2025-08-20 17:53:23,Neutral,0.55
2025-08-20 17:53:23,Happy,0.60
2025-08-20 17:53:23,Happy,0.46
2025-08-20 17:53:24,Neutral,0.50
2025-08-20 17:53:24,Neutral,0.59
2025-08-20 17:53:24,Neutral,0.31
2025-08-20 17:53:24,Neutral,0.70
2025-08-20 17:53:25,Neutral,0.47
2025-08-20 17:53:25,Neutral,0.65
2025-08-20 17:53:25,Neutral,0.57
2025-08-20 17:53:26,Neutral,0.59
2025-08-20 17:53:26,Neutral,0.59
2025-08-20 17:53:27,Neutral,0.55
2025-08-20 17:53:27,Neutral,0.71
2025-08-20 17:53:27,Neutral,0.77
2025-08-20 17:53:28,Neutral,0.61
2025-08-20 17:53:28,Neutral,0.76
2025-08-20 17:53:28,Neutral,0.59
2025-08-20 17:53:29,Neutral,0.44
2025-08-20 17:53:29,Neutral,0.60
2025-08-20 17:53:29,Neutral,0.55
2025-08-20 17:53:29,Neutral,0.39
2025-08-20 17:53:30,Neutral,0.64
2025-08-20 17:53:30,Neutral,0.65
2025-08-20 17:53:30,Neutral,0.78
2025-08-20 17:53:30,Neutral,0.65
2025-08-20 17:53:31,Neutral,0.53
2025-08-20 17:53:31,Neutral,0.54
2025-08-20 17:53:32,Neutral,0.62
2025-08-20 17:53:32,Neutral,0.66
2025-08-20 17:53:32,Neutral,0.61
2025-08-20 17:53:33,Happy,0.55
2025-08-20 17:53:33,Happy,0.67
2025-08-20 17:53:33,Happy,0.97
2025-08-20 17:53:34,Happy,0.90
2025-08-20 17:53:34,Happy,0.97
2025-08-20 17:53:34,Happy,0.99
2025-08-20 17:53:35,Happy,0.99
2025-08-20 17:53:35,Happy,0.97
2025-08-20 17:53:36,Happy,0.85
2025-08-20 17:53:36,Happy,0.88
2025-08-20 17:53:36,Happy,0.93
2025-08-20 17:53:37,Happy,0.92
2025-08-20 17:53:37,Happy,0.92
2025-08-20 17:53:37,Happy,0.98
2025-08-20 17:53:38,Happy,0.98
2025-08-20 17:53:38,Happy,0.97
2025-08-20 17:53:38,Happy,0.95
2025-08-20 17:53:39,Happy,0.99
2025-08-20 17:53:39,Happy,0.99
2025-08-20 17:53:40,Happy,0.95
2025-08-20 17:53:40,Happy,0.99
2025-08-20 17:53:40,Happy,1.00
2025-08-20 17:53:41,Happy,0.98
2025-08-20 17:53:41,Happy,1.00
2025-08-20 17:53:41,Happy,0.99
2025-08-20 17:53:42,Happy,0.99
2025-08-20 17:53:42,Happy,0.99
2025-08-20 17:53:42,Happy,0.98
2025-08-20 17:53:42,Neutral,0.32
2025-08-20 17:53:43,Happy,0.99
2025-08-20 17:53:43,Happy,0.99
2025-08-20 17:53:43,Happy,1.00
2025-08-20 17:53:44,Happy,1.00
2025-08-20 17:53:44,Happy,0.99
2025-08-20 17:53:45,Happy,1.00
2025-08-20 17:53:45,Happy,0.99
2025-08-20 17:53:45,Happy,0.99
2025-08-20 17:53:46,Happy,0.99
2025-08-20 17:53:46,Happy,0.99
2025-08-20 17:53:46,Happy,0.99
2025-08-20 17:53:47,Happy,0.98
2025-08-20 17:53:47,Happy,1.00
2025-08-20 17:53:47,Happy,0.97
2025-08-20 17:53:48,Happy,0.99
2025-08-20 17:53:48,Happy,1.00
2025-08-20 17:53:48,Happy,1.00
2025-08-20 17:53:49,Happy,0.92
2025-08-20 17:53:49,Neutral,0.54
2025-08-20 17:53:49,Neutral,0.76
2025-08-20 17:53:50,Neutral,0.74
2025-08-20 17:53:50,Neutral,0.76
2025-08-20 17:53:50,Neutral,0.84
2025-08-20 17:53:51,Neutral,0.84
2025-08-20 17:53:51,Neutral,0.78
2025-08-20 17:53:52,Neutral,0.80
2025-08-20 17:53:52,Neutral,0.72
2025-08-20 17:53:52,Neutral,0.76
2025-08-20 17:53:53,Neutral,0.76
2025-08-20 17:53:53,Neutral,0.61
2025-08-20 17:53:53,Neutral,0.62
2025-08-20 17:53:54,Neutral,0.65
2025-08-20 17:53:54,Neutral,0.73
2025-08-20 17:53:54,Neutral,0.74
2025-08-20 17:53:55,Neutral,0.54
2025-08-20 17:53:55,Neutral,0.57
2025-08-20 17:53:55,Neutral,0.58
2025-08-20 17:53:55,Sad,0.48
2025-08-20 17:53:56,Sad,0.36
2025-08-20 17:53:56,Neutral,0.40
2025-08-20 17:53:56,Happy,0.35
2025-08-20 17:53:56,Neutral,0.50
2025-08-20 17:53:57,Sad,0.58
2025-08-20 17:53:57,Neutral,0.39
2025-08-20 17:53:57,Happy,0.50
2025-08-20 17:53:57,Sad,0.54
2025-08-20 17:53:57,Neutral,0.28
2025-08-20 17:53:58,Neutral,0.38
2025-08-20 17:53:58,Sad,0.34
2025-08-20 17:53:58,Sad,0.38
2025-08-20 17:53:59,Sad,0.41
2025-08-20 17:53:59,Sad,0.41
2025-08-20 17:53:59,Sad,0.40
2025-08-20 17:54:00,Sad,0.36
2025-08-20 17:54:00,Sad,0.57
2025-08-20 17:54:00,Sad,0.44
2025-08-20 17:54:00,Sad,0.40
2025-08-20 17:54:01,Sad,0.54
2025-08-20 17:54:01,Neutral,0.37
2025-08-20 17:54:01,Neutral,0.52
2025-08-20 17:54:02,Neutral,0.48
2025-08-20 17:54:02,Neutral,0.56
2025-08-20 17:54:02,Happy,0.42
2025-08-20 17:54:03,Happy,0.66
2025-08-20 17:54:03,Happy,0.55
2025-08-20 17:54:03,Happy,0.50
2025-08-20 17:54:04,Happy,0.71
2025-08-20 17:54:04,Happy,0.56
2025-08-20 17:54:04,Neutral,0.45
2025-08-20 17:54:05,Happy,0.51
2025-08-20 17:54:05,Neutral,0.49
2025-08-20 17:54:05,Neutral,0.48
2025-08-20 17:54:06,Happy,0.45
2025-08-20 17:54:06,Happy,0.56
2025-08-20 17:54:06,Happy,0.85
2025-08-20 17:54:07,Happy,0.76
2025-08-20 17:54:07,Happy,0.69
2025-08-20 17:54:07,Happy,0.44
2025-08-20 17:54:08,Neutral,0.51
2025-08-20 17:54:08,Neutral,0.40
2025-08-20 17:54:08,Neutral,0.46
2025-08-20 17:54:09,Neutral,0.54
2025-08-20 17:54:09,Neutral,0.58
2025-08-20 17:54:09,Neutral,0.55
2025-08-20 17:54:10,Neutral,0.59
2025-08-20 17:54:10,Happy,0.57
2025-08-20 17:54:10,Happy,0.54
2025-08-20 17:54:11,Happy,0.55
2025-08-20 17:54:11,Happy,0.78
2025-08-20 17:54:11,Happy,0.70
2025-08-20 17:54:12,Neutral,0.48
2025-08-20 17:54:12,Neutral,0.66
2025-08-20 17:54:12,Happy,0.60
2025-08-20 17:54:13,Neutral,0.69
2025-08-20 17:54:13,Neutral,0.58
2025-08-20 17:54:13,Neutral,0.50
2025-08-20 17:54:14,Happy,0.51
2025-08-20 17:54:14,Happy,0.64
2025-08-20 17:54:14,Neutral,0.53
2025-08-20 17:54:15,Neutral,0.40
2025-08-20 17:54:15,Neutral,0.53
2025-08-20 17:54:15,Happy,0.56
2025-08-20 17:54:16,Neutral,0.43
2025-08-20 17:54:16,Happy,0.45
2025-08-20 17:54:16,Happy,0.45
2025-08-20 17:54:17,Happy,0.43
2025-08-20 17:54:17,Happy,0.64
2025-08-20 17:54:17,Happy,0.40
2025-08-20 17:54:18,Happy,0.79
2025-08-20 17:54:18,Happy,0.53
2025-08-20 17:54:18,Fear,0.28
2025-08-20 17:54:19,Happy,0.79
2025-08-20 17:54:19,Happy,0.47
2025-08-20 17:54:19,Happy,0.51
2025-08-20 17:54:20,Neutral,0.48
2025-08-20 17:54:20,Neutral,0.35
2025-08-20 17:54:20,Neutral,0.50
2025-08-20 17:54:20,Happy,0.64
2025-08-20 17:54:21,Neutral,0.40
2025-08-20 17:54:21,Happy,0.59
2025-08-20 17:54:21,Happy,0.41
2025-08-20 17:54:22,Happy,0.52
2025-08-20 17:54:22,Neutral,0.40
2025-08-20 17:54:23,Happy,0.63
2025-08-20 17:54:23,Happy,0.80
2025-08-20 17:54:23,Happy,0.66
2025-08-20 17:54:24,Happy,0.58
2025-08-20 17:54:24,Neutral,0.39
2025-08-20 17:54:24,Happy,0.39
2025-08-20 17:54:25,Happy,0.61
2025-08-20 17:54:25,Neutral,0.39
2025-08-20 17:54:25,Neutral,0.41
2025-08-20 17:54:26,Neutral,0.41
2025-08-20 17:54:26,Happy,0.47
2025-08-20 17:54:26,Happy,0.52
2025-08-20 17:54:27,Happy,0.49
2025-08-20 17:54:27,Neutral,0.54
2025-08-20 17:54:28,Neutral,0.41
2025-08-20 17:54:28,Happy,0.45
2025-08-20 17:54:28,Neutral,0.44
2025-08-20 17:54:29,Neutral,0.49
2025-08-20 17:54:29,Neutral,0.46
2025-08-20 17:54:29,Neutral,0.27
2025-08-20 17:54:30,Happy,0.48
2025-08-20 17:54:30,Neutral,0.38
2025-08-20 17:54:30,Happy,0.46
2025-08-20 17:54:31,Neutral,0.49
2025-08-20 17:54:31,Neutral,0.35
2025-08-20 17:54:31,Neutral,0.51
2025-08-20 17:54:32,Neutral,0.45
2025-08-20 17:54:32,Neutral,0.57
2025-08-20 17:54:32,Surprise,0.35
2025-08-20 17:54:32,Happy,0.48
2025-08-20 17:54:33,Neutral,0.34
2025-08-20 17:54:33,Neutral,0.34
2025-08-20 17:54:34,Neutral,0.40
2025-08-20 17:54:34,Neutral,0.46
2025-08-20 17:54:34,Neutral,0.62
2025-08-20 17:54:35,Happy,0.47
2025-08-20 17:54:35,Neutral,0.52
2025-08-20 17:54:35,Neutral,0.52
2025-08-20 17:54:36,Neutral,0.51
2025-08-20 17:54:36,Neutral,0.50
2025-08-20 17:54:36,Neutral,0.42
2025-08-20 17:54:37,Neutral,0.55
2025-08-20 17:54:37,Fear,0.36
2025-08-20 17:54:37,Neutral,0.50
2025-08-20 17:54:37,Surprise,0.31
2025-08-20 17:54:38,Neutral,0.38
2025-08-20 17:54:38,Neutral,0.45
2025-08-20 17:54:38,Neutral,0.69
2025-08-20 17:54:39,Neutral,0.60
2025-08-20 17:54:39,Neutral,0.54
2025-08-20 17:54:39,Neutral,0.57
2025-08-20 17:54:40,Neutral,0.57
2025-08-20 17:54:40,Neutral,0.68
2025-08-20 17:54:40,Neutral,0.52
2025-08-20 17:54:41,Neutral,0.65
2025-08-20 17:54:41,Neutral,0.78
2025-08-20 17:54:41,Neutral,0.51
2025-08-20 17:54:42,Neutral,0.57
2025-08-20 17:54:42,Neutral,0.60
2025-08-20 17:54:42,Neutral,0.48
2025-08-20 17:54:43,Surprise,0.52
2025-08-20 17:54:43,Neutral,0.48
2025-08-20 17:54:43,Neutral,0.54
2025-08-20 17:54:43,Happy,0.74
2025-08-20 17:54:43,Happy,0.43
2025-08-20 17:54:44,Neutral,0.57
2025-08-20 17:54:44,Angry,0.49
2025-08-20 17:54:44,Neutral,0.59
2025-08-20 17:54:44,Neutral,0.48
2025-08-20 17:54:45,Neutral,0.37
2025-08-20 17:54:45,Neutral,0.54
2025-08-20 17:54:45,Neutral,0.41
2025-08-20 17:54:46,Neutral,0.51
2025-08-20 17:54:46,Neutral,0.59
2025-08-20 17:54:46,Neutral,0.62
2025-08-20 17:54:47,Neutral,0.52
2025-08-20 17:54:47,Neutral,0.58
2025-08-20 17:54:47,Neutral,0.56
2025-08-20 17:54:48,Neutral,0.61
2025-08-20 17:54:48,Neutral,0.60
2025-08-20 17:54:48,Neutral,0.64
2025-08-20 17:54:49,Neutral,0.58
2025-08-20 17:54:49,Neutral,0.55
2025-08-20 17:54:49,Neutral,0.59
2025-08-20 17:54:50,Neutral,0.65
2025-08-20 17:54:50,Neutral,0.59
2025-08-20 17:54:50,Neutral,0.67
2025-08-20 17:54:51,Neutral,0.58
2025-08-20 17:54:51,Neutral,0.64
2025-08-20 17:54:51,Neutral,0.65
2025-08-20 17:54:52,Neutral,0.51
2025-08-20 17:54:52,Neutral,0.44
2025-08-20 17:54:52,Happy,0.49
2025-08-20 17:54:52,Neutral,0.46
2025-08-20 17:54:53,Neutral,0.68
2025-08-20 17:54:53,Neutral,0.63
2025-08-20 17:54:53,Neutral,0.59
2025-08-20 17:54:54,Neutral,0.62
2025-08-20 17:54:54,Neutral,0.64
2025-08-20 17:54:54,Surprise,0.37
2025-08-20 17:54:54,Neutral,0.47
2025-08-20 17:54:55,Neutral,0.60
2025-08-20 17:54:55,Neutral,0.69
2025-08-20 17:54:56,Neutral,0.60
2025-08-20 17:54:56,Neutral,0.49
2025-08-20 17:54:56,Neutral,0.66
2025-08-20 17:54:57,Neutral,0.55
2025-08-20 17:54:57,Neutral,0.55
2025-08-20 17:54:57,Neutral,0.53
2025-08-20 17:54:58,Neutral,0.71
